"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2023","4,146.22","4,100.04","4,150.26","4,099.40","","1.33%"
"04/12/2023","4,091.95","4,121.72","4,134.37","4,086.94","","-0.41%"
"04/11/2023","4,108.94","4,110.29","4,124.26","4,102.61","","0.00%"
"04/10/2023","4,109.11","4,085.20","4,109.50","4,072.55","","0.10%"
"04/06/2023","4,105.02","4,081.15","4,107.32","4,069.84","","0.36%"
"04/05/2023","4,090.38","4,094.50","4,099.69","4,072.56","","-0.25%"
"04/04/2023","4,100.60","4,128.03","4,133.13","4,086.87","","-0.58%"
"04/03/2023","4,124.51","4,102.20","4,127.66","4,098.79","","0.37%"
"03/31/2023","4,109.31","4,056.18","4,110.75","4,056.18","","1.44%"
"03/30/2023","4,050.83","4,046.74","4,057.85","4,032.10","","0.57%"
"03/29/2023","4,027.81","3,999.53","4,030.59","3,999.53","","1.42%"
"03/28/2023","3,971.27","3,974.13","3,979.20","3,951.53","","-0.16%"
"03/27/2023","3,977.53","3,982.93","4,003.83","3,970.49","","0.16%"
"03/24/2023","3,970.99","3,939.21","3,972.74","3,909.16","","0.56%"
"03/23/2023","3,948.72","3,959.21","4,007.66","3,919.05","","0.30%"
"03/22/2023","3,936.97","4,002.04","4,039.49","3,936.17","","-1.65%"
"03/21/2023","4,002.87","3,975.89","4,009.08","3,971.19","","1.30%"
"03/20/2023","3,951.57","3,917.47","3,956.62","3,916.89","","0.89%"
"03/17/2023","3,916.64","3,958.69","3,958.91","3,901.27","","-1.10%"
"03/16/2023","3,960.28","3,878.93","3,964.46","3,864.11","","1.76%"
"03/15/2023","3,891.93","3,876.74","3,894.26","3,838.24","","-0.73%"
"03/14/2023","3,920.56","3,894.01","3,937.29","3,873.63","","1.68%"
"03/13/2023","3,855.76","3,835.12","3,905.05","3,808.86","","-0.15%"
"03/10/2023","3,861.59","3,912.77","3,934.05","3,846.32","","-1.45%"
"03/09/2023","3,918.32","3,998.66","4,017.81","3,908.70","","-1.85%"
"03/08/2023","3,992.01","3,987.55","4,000.41","3,969.76","","0.14%"
"03/07/2023","3,986.37","4,048.26","4,050.00","3,980.31","","-1.53%"
"03/06/2023","4,048.42","4,055.15","4,078.49","4,044.61","","0.07%"
"03/03/2023","4,045.64","3,998.02","4,048.29","3,995.17","","1.61%"
"03/02/2023","3,981.35","3,938.68","3,990.84","3,928.16","","0.76%"
"03/01/2023","3,951.39","3,963.34","3,971.73","3,939.05","","-0.47%"
"02/28/2023","3,970.15","3,977.19","3,997.50","3,968.98","","-0.30%"
"02/27/2023","3,982.24","3,992.36","4,018.05","3,973.55","","0.31%"
"02/24/2023","3,970.04","3,973.24","3,978.25","3,943.08","","-1.05%"
"02/23/2023","4,012.32","4,018.60","4,028.30","3,969.19","","0.53%"
"02/22/2023","3,991.05","4,001.83","4,017.37","3,976.90","","-0.16%"
"02/21/2023","3,997.34","4,052.35","4,052.35","3,995.19","","-2.00%"
"02/17/2023","4,079.09","4,077.39","4,081.51","4,047.95","","-0.28%"
"02/16/2023","4,090.41","4,114.75","4,136.54","4,089.49","","-1.38%"
"02/15/2023","4,147.60","4,119.50","4,148.11","4,103.98","","0.28%"
"02/14/2023","4,136.13","4,126.70","4,159.77","4,095.01","","-0.03%"
"02/13/2023","4,137.29","4,096.62","4,138.90","4,092.67","","1.14%"
